event,pTHat,pythiaWeight,manualBias,manualWeight
0,2.42406,1,1,1
1,1.37161,1,1,1
2,2.70982,1,1,1
3,1.03615,1,1,1
4,2.57083,1,1,1
5,2.54524,1,1,1
6,0.996019,1,1,1
7,2.39983,1,4.3827,0.22817
8,1.36335,1,1,1
9,1.42862,1,7.88344,0.126848
10,1.28693,1,1,1
11,1.79705,1,5.02702,0.198925
12,1.36091,1,1,1
13,2.01007,1,1.12982,0.885097
14,3.02105,1,1,1
15,1.03153,1,4.10206,0.24378
16,1.80457,1,1,1
17,1.74223,1,1,1
18,2.2904,1,1,1
19,1.69352,1,11.335,0.0882224
20,1.24085,1,1,1
21,1.52913,1,1,1
22,1.7225,1,1,1
23,2.23756,1,1,1
24,1.96445,1,1,1
25,4.13642,1,1,1
26,1.164,1,1,1
27,3.99282,1,1,1
28,2.99655,1,1,1
29,1.4641,1,1,1
30,1.49912,1,1,1
31,1.2865,1,1,1
32,2.10092,1,1,1
33,2.24268,1,1,1
34,2.83889,1,1,1
35,2.47597,1,1,1
36,3.54078,1,1,1
37,1.06608,1,1,1
38,2.50409,1,1,1
39,1.34819,1,1,1
40,1.13738,1,1,1
41,2.93304,1,1,1
42,2.27671,1,1,1
43,1.56339,1,1,1
44,1.95556,1,1,1
45,1.35189,1,1,1
46,1.18936,1,1,1
47,1.89434,1,1,1
48,1.2928,1,1,1
49,1.84055,1,1,1
50,1.27321,1,1,1
51,1.17912,1,1,1
52,1.05654,1,1,1
53,1.23115,1,1,1
54,3.78454,1,2.92696,0.341651
55,2.85098,1,1,1
56,1.12444,1,1,1
57,1.29676,1,8.75041,0.11428
58,2.59376,1,1,1
59,1.27902,1,1,1
60,1.81152,1,1,1
61,1.27065,1,1,1
62,3.22058,1,1,1
63,3.13812,1,1,1
64,1.15981,1,1,1
65,1.32028,1,1,1
66,2.10892,1,1,1
67,1.55791,1,1,1
68,1.19385,1,1,1
69,4.09958,1,1,1
70,1.04601,1,1,1
71,2.39106,1,1,1
72,1.66737,1,1,1
73,3.05974,1,1.58572,0.630627
74,1.08318,1,10.8885,0.0918399
75,1.09809,1,18.9894,0.0526611
76,1.12324,1,20.2586,0.0493618
77,1.03609,1,1,1
78,2.62308,1,1,1
79,1.17375,1,1,1
80,1.06959,1,1,1
81,1.03412,1,2.52766,0.395624
82,1.40968,1,1,1
83,5.50402,1,1,1
84,1.31795,1,1,1
85,1.06412,1,1,1
86,1.3382,1,1,1
87,3.16918,1,1,1
88,1.98433,1,1,1
89,1.08527,1,1,1
90,1.31478,1,1,1
91,2.11006,1,1,1
92,1.64604,1,1,1
93,1.50358,1,1,1
94,1.10652,1,1,1
95,2.31177,1,1,1
96,1.1044,1,1,1
97,3.47742,1,1,1
98,1.33704,1,1,1
99,2.14173,1,1,1
100,1.05094,1,1,1
101,2.12465,1,1,1
102,1.14258,1,1,1
103,4.32455,1,1.22858,0.813949
104,1.38442,1,1,1
105,1.11097,1,1,1
106,2.40836,1,1,1
107,3.06403,1,1,1
108,1.17366,1,5.32643,0.187743
109,2.37169,1,1,1
110,1.59672,1,1,1
111,2.31224,1,6.43333,0.15544
112,1.27309,1,1,1
113,2.74518,1,1,1
114,1.4248,1,1,1
115,1.17879,1,1,1
116,2.43126,1,1,1
117,1.91608,1,1,1
118,1.32207,1,1,1
119,2.09734,1,1,1
120,4.24268,1,1,1
121,2.87156,1,1,1
122,4.53483,1,1,1
123,1.18643,1,1,1
124,2.31451,1,1,1
125,2.1986,1,1,1
126,1.07626,1,24.8665,0.0402148
127,2.29237,1,1,1
128,1.70068,1,1,1
129,1.57571,1,1,1
130,1.67754,1,1.10298,0.906634
131,1.12593,1,1,1
132,1.92342,1,1,1
133,3.31299,1,1,1
