event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.59324,1,1,1
1,1.19644,1,1,1
2,1.56667,1,1,1
3,1.74922,1,1,1
4,1.06697,1,1,1
5,3.26435,1,1,1
6,1.41741,1,1,1
7,1.88174,1,1,1
8,1.70796,1,1,1
9,28.2945,1,73.3784,0.013628
10,4.37961,1,1,1
11,2.1594,1,1,1
12,2.00363,1,1,1
13,1.67916,1,1,1
14,1.6546,1,1,1
15,3.10881,1,1,1
16,1.91946,1,1,1
17,2.50069,1,1,1
18,44.14,1,796.888,0.00125488
19,1.11799,1,1,1
20,2.45676,1,1,1
21,2.56207,1,1,1
22,1.43623,1,1,1
23,1.75312,1,1,1
24,2.21404,1,1,1
25,2.23469,1,1,1
26,3.38441,1,1,1
27,1.80507,1,1,1
28,2.15076,1,1,1
29,2.24199,1,1,1
30,1.11063,1,1,1
31,1.73922,1,1,1
32,2.55198,1,1,1
33,3.11866,1,1,1
34,2.71452,1,1,1
35,1.3843,1,1,1
36,3.47247,1,1,1
37,2.35221,1,1,1
38,1.23465,1,1,1
39,1.4751,1,1,1
40,45.7918,1,619.169,0.00161507
41,1.61552,1,1,1
42,67.0153,1,1000,0.001
43,1.5525,1,1,1
44,1.24765,1,1,1
45,1.90012,1,1,1
46,2.02912,1,1,1
47,1.41897,1,1,1
48,2.36636,1,1,1
49,1.42343,1,1,1
50,1.86195,1,1,1
51,1.39642,1,1,1
52,4.3922,1,1,1
53,1.49585,1,1,1
54,2.2215,1,1,1
55,1.69081,1,1,1
56,2.54255,1,1,1
57,1.39461,1,1,1
58,1.74165,1,1,1
59,1.57273,1,1,1
60,1.24301,1,1,1
61,1.36147,1,1,1
62,1.21685,1,1,1
63,1.13156,1,1,1
64,3.49247,1,1,1
65,1.19603,1,1,1
66,7.83921,1,1,1
67,1.67732,1,1,1
68,1.36674,1,1,1
69,1.28979,1,1,1
70,1.5102,1,1,1
71,1.37919,1,1,1
72,1.01009,1,1,1
73,2.96484,1,1,1
74,2.08009,1,1,1
75,1.1431,1,1,1
76,1.27462,1,1,1
77,2.27846,1,1,1
78,2.6841,1,1,1
79,8.74328,1,1.19146,0.839305
80,41.2579,1,307.822,0.00324864
81,1.81493,1,1,1
82,1.37342,1,1,1
83,1.03527,1,1,1
84,1.63963,1,1,1
85,1.30117,1,1,1
86,3.13398,1,1,1
87,34.0071,1,133.528,0.00748905
88,1.2893,1,1,1
89,1.13393,1,1,1
90,1.39653,1,1,1
91,2.40624,1,1,1
92,1.01264,1,1,1
93,1.51948,1,1,1
94,1.01977,1,1,1
95,1.44551,1,1,1
96,1.66247,1,1,1
97,3.05376,1,1,1
98,1.1956,1,1,1
99,2.31343,1,1,1
100,4.30497,1,1,1
101,1.11066,1,1,1
102,1.48125,1,1,1
103,35.8163,1,143.452,0.00697096
104,1.59837,1,1,1
105,2.02335,1,1,1
106,1.98302,1,1,1
107,2.92368,1,1,1
108,3.33639,1,1,1
109,1.54511,1,1,1
110,1.30272,1,1,1
111,3.92072,1,1,1
112,2.86895,1,1,1
113,1.43811,1,1,1
114,1.73705,1,1,1
115,1.12889,1,1,1
116,1.63619,1,1,1
117,1.86496,1,1,1
118,22.067,1,62.3186,0.0160466
119,2.69326,1,1,1
120,28.8227,1,106.966,0.00934874
121,1.62281,1,1,1
122,4.43697,1,1,1
123,1.32263,1,1,1
124,1.03403,1,1,1
125,1.88104,1,1,1
126,1.42441,1,1,1
127,1.65388,1,1,1
128,1.19862,1,1,1
129,1.83439,1,1,1
130,2.81911,1,1,1
131,1.81454,1,1,1
132,1.083,1,1,1
133,1.25093,1,1,1
134,1.688,1,1,1
135,1.73901,1,1,1
136,1.17875,1,1,1
137,2.36723,1,1,1
138,1.37592,1,1,1
139,1.36571,1,1,1
140,1.06762,1,1,1
141,1.03066,1,1,1
142,2.11434,1,1,1
143,3.43636,1,1,1
144,1.17807,1,1,1
145,1.97949,1,1,1
146,1.201,1,1,1
147,1.30054,1,1,1
148,1.74154,1,1,1
149,3.09967,1,1,1
150,3.52288,1,1,1
151,4.16872,1,1,1
152,2.97277,1,1,1
153,2.45213,1,1,1
154,2.10822,1,1,1
155,3.61744,1,1,1
156,1.11583,1.01239,1,1.01239
157,2.1699,1,1,1
158,1.53661,1,1,1
159,1.90609,1,1,1
160,1.22212,1,1,1
161,1.32869,1,1,1
162,5.51058,1,1,1
163,1.6324,1,1,1
164,3.32411,1,1,1
165,1.41878,1,1,1
166,1.5259,1,1,1
167,4.08457,1,1,1
168,1.98088,1,1,1
169,4.62828,1,1,1
170,2.69325,1,1,1
171,1.2068,1,1,1
172,1.57437,1,1,1
173,2.87808,1,1,1
174,1.24381,1,1,1
175,6.20322,1,1,1
176,1.008,1,1,1
177,1.11627,1,1,1
178,1.48449,1,1,1
179,2.77888,1,1,1
180,2.80728,1,1,1
181,45.6866,1,705.081,0.00141828
182,1.19421,1,1,1
183,2.73625,1,1,1
184,1.80248,1,1,1
185,1.04289,1,1,1
186,1.28789,1,1,1
187,1.43929,1,1,1
188,1.02678,1,1,1
189,1.76349,1,1,1
190,1.3826,1,1,1
191,1.74808,1,1,1
192,1.22578,1,1,1
193,39.1561,1,495.575,0.00201786
194,10.4296,1,1,1
195,39.2501,1,279.977,0.00357173
196,1.31405,1,1,1
197,1.16546,1,1,1
198,1.61458,1,1,1
199,1.36694,1,1,1
