event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.59506,1,1,1
1,2.40034,1,1,1
2,1.17881,1,1,1
3,1.7306,1,1,1
4,1.61802,1,1,1
5,1.40038,1,1,1
6,2.76524,1,1,1
7,1.58441,1,1,1
8,1.15651,1,1,1
9,1.06267,1,1,1
10,1.59129,1,1,1
11,2.05375,1,1,1
12,1.01776,1,1,1
13,1.09606,1,1,1
14,2.73755,1,1,1
15,1.24288,1,1,1
16,1.78275,1,1,1
17,2.40058,1,1,1
18,1.5991,1,1,1
19,1.73169,1,1,1
20,2.0767,1,1,1
21,1.26425,1,1,1
22,2.2067,1,1,1
23,3.8385,1,1,1
24,3.12649,1,1,1
25,1.41294,1,1,1
26,3.18057,1,1,1
27,1.11218,1,1,1
28,1.34379,1,1,1
29,1.54893,1,1,1
30,1.74481,1,1,1
31,3.35123,1,1,1
32,1.99088,1,1,1
33,2.4498,1,1,1
34,1.7531,1,1,1
35,1.6257,1,1,1
36,2.33009,1,1,1
37,2.10759,1,1,1
38,2.04768,1,1,1
39,1.60902,1,1,1
40,1.09334,1,1,1
41,1.00645,1,1,1
42,1.0311,1,1,1
43,1.42268,1,1,1
44,1.99657,1,1,1
45,2.75414,1,1,1
46,1.79374,1,1,1
47,1.13146,1,1,1
48,3.18778,1,1,1
49,3.59714,1,1,1
50,2.78887,1,1,1
51,1.09278,1,1,1
52,2.58723,1,1,1
53,1.01708,1,1,1
54,1.2693,1,1,1
55,1.15007,1,1,1
56,27.759,1,74.2923,0.0134603
57,4.86177,1,1,1
58,1.25338,1,1,1
59,2.48688,1,1,1
60,2.0651,1,1,1
61,1.1749,1,1,1
62,2.46007,1,1,1
63,3.19657,1,1,1
64,1.1839,1,1,1
65,26.3426,1,312.623,0.00319874
66,1.03525,1,1,1
67,2.79168,1,1,1
68,1.8508,1,1,1
69,1.12695,1,1,1
70,3.27905,1,1,1
71,1.12694,1,1,1
72,2.10365,1,1,1
73,2.10336,1,1,1
74,1.07889,1,1,1
75,1.23251,1,1,1
76,1.80482,1,1,1
77,1.21335,1,1,1
78,1.04445,1,1,1
79,1.0652,1,1,1
80,2.76081,1,1,1
81,1.72924,1,1,1
82,1.02412,1,1,1
83,1.1003,1,1,1
84,1.08294,1.04308,1,1.04308
85,3.7742,1,1,1
86,1.52361,1,1,1
87,1.0141,1,1,1
88,1.41738,1,1,1
89,2.26367,1,1,1
90,2.29714,1,1,1
91,1.44494,1,1,1
92,1.7805,1,1,1
93,1.17082,1,1,1
94,1.40259,1,1,1
95,1.8727,1,1,1
96,3.01138,1,1,1
97,1.50104,1,1,1
98,1.03119,1,1,1
99,1.68025,1,1,1
100,1.63086,1,1,1
101,3.37397,1,1,1
102,4.40129,1,1,1
103,1.57314,1,1,1
104,1.37733,1,1,1
105,1.13553,1,1,1
106,2.06138,1,1,1
107,1.17799,1,1,1
108,27.0019,1,109.691,0.0091165
109,1.4574,1,1,1
110,1.74056,1,1,1
111,4.38303,1,1,1
112,1.87717,1,1,1
113,1.77751,1,1,1
114,3.53161,1,1,1
115,3.68027,1,1,1
116,1.13934,1,1,1
117,4.87534,1,1,1
118,1.51054,1,1,1
119,1.53181,1,1,1
120,1.39906,1,1,1
121,2.2855,1,1,1
122,1.88097,1,1,1
123,3.3638,1,1,1
124,1.15851,1,1,1
125,3.81854,1,1,1
126,2.05634,1,1,1
127,4.82134,1,1,1
128,1.22027,1,1,1
129,1.04034,1.18602,1,1.18602
130,1.26307,1,1,1
131,3.138,1,1,1
132,3.91642,1,1,1
133,2.59303,1,1,1
134,1.81917,1,1,1
135,3.11026,1,1,1
136,1.553,1,1,1
137,1.07011,1,1,1
138,3.35794,1,1,1
139,1.27646,1,1,1
140,45.5232,1,1000,0.001
141,2.76256,1,1,1
142,1.47661,1,1,1
143,1.31313,1,1,1
144,1.13005,1,1,1
145,1.17179,1,1,1
146,1.26691,1,1,1
147,1.33821,1,1,1
148,3.83995,1,1,1
149,1.60469,1,1,1
150,1.23328,1,1,1
151,1.9994,1,1,1
152,1.01549,1,1,1
153,1.8987,1,1,1
154,1.39791,1,1,1
155,3.44268,1,1,1
156,1.31492,1,1,1
157,4.99847,1,1,1
158,1.03481,1,1,1
159,2.36704,1,1,1
160,1.06992,1,1,1
161,1.6204,1,1,1
162,1.08365,1,1,1
163,1.65758,1,1,1
164,2.21371,1,1,1
165,1.04404,1,1,1
166,1.34765,1,1,1
167,1.06001,1,1,1
168,4.34016,1,1,1
169,1.72108,1,1,1
170,1.43576,1,1,1
171,1.52298,1,1,1
172,3.1449,1,1,1
173,1.49435,1,1,1
174,1.73915,1,1,1
175,1.17597,1,1,1
176,1.35045,1,1,1
177,5.81807,1,1,1
178,2.52462,1,1,1
179,1.11481,1,1,1
180,2.32219,1,1,1
181,6.983,1,1,1
182,1.35936,1,1,1
183,1.86602,1,1,1
184,1.94213,1,1,1
185,1.43658,1,1,1
186,1.04417,1,1,1
187,2.20171,1,1,1
188,2.66928,1,1,1
189,1.09506,1.07799,1,1.07799
190,1.80191,1,1,1
191,1.6571,1,1,1
192,1.42053,1,1,1
193,1.04368,1,1,1
194,1.83008,1,1,1
195,2.29753,1,1,1
196,3.88915,1,1,1
197,1.10797,1,1,1
198,2.525,1,1,1
199,2.44461,1,1,1
