event,pTHat,pythiaWeight,manualBias,manualWeight
0,3.32852,1,2.43929,0.409955
1,2.02977,1,1.86576,0.535976
2,1.01553,1,1.42296,0.702759
3,1.10989,1,1.46656,0.681866
4,2.2836,1,1.97789,0.50559
5,1.93631,1,1.82931,0.546655
6,1.1351,1,1.47445,0.678218
7,2.03727,1,1.87134,0.534376
8,2.34302,1,2.00416,0.498962
9,5.96544,1,3.56197,0.280743
10,1.61606,1,1.68377,0.593905
11,4.27218,1,2.85052,0.350813
12,2.05985,1,1.87903,0.532189
13,1.45563,1,1.61361,0.619728
14,1.83692,1,1.78109,0.561453
15,1.0741,1,1.44824,0.690495
16,2.33988,1,2.00278,0.499307
17,2.12448,1,1.90935,0.523739
18,2.04488,1,1.87243,0.534067
19,1.74498,1,1.74034,0.5746
20,3.30181,1,2.42868,0.411746
21,2.86709,1,2.23867,0.446695
22,1.19568,1,1.50144,0.666026
23,1.06487,1,1.44508,0.692003
24,6.1184,1,3.62244,0.276057
25,1.1162,1,1.4663,0.681991
26,6.90484,1,3.93536,0.254106
27,1.07393,1,1.44808,0.69057
28,1.96228,1,1.83599,0.544665
29,3.22688,1,2.39459,0.417608
30,2.02079,1,1.86735,0.535517
31,1.00643,1,1.42197,0.703248
32,1.27842,1,1.53648,0.650836
33,1.62157,1,1.68618,0.593056
34,1.32222,1,1.55583,0.642742
35,1.34774,1,1.56743,0.637986
36,1.88601,1,1.80238,0.554823
37,1.01775,1,1.42392,0.702287
38,2.63058,1,2.13136,0.469184
39,5.1259,1,3.21343,0.311194
40,2.12674,1,1.90856,0.523954
41,1.43038,1,1.60259,0.623988
42,1.87158,1,1.79603,0.556785
43,1.97284,1,1.84064,0.543288
44,3.16564,1,2.36763,0.422364
45,1.97265,1,1.84249,0.542745
46,1.32322,1,1.55599,0.642677
47,1.08728,1,1.45469,0.687433
48,2.04266,1,1.87144,0.534347
49,4.20183,1,2.81994,0.354618
50,1.16605,1,1.48782,0.672124
51,3.98484,1,2.72603,0.366833
52,2.7519,1,2.18623,0.457409
53,2.11623,1,1.90566,0.524753
54,1.46152,1,1.61618,0.618742
55,2.36186,1,2.01249,0.496896
56,3.63918,1,2.57548,0.388278
57,1.85193,1,1.78737,0.55948
58,2.12241,1,1.90665,0.524479
59,4.00513,1,2.73606,0.365489
60,1.93196,1,1.82262,0.548659
61,3.02585,1,2.306,0.433651
62,2.43833,1,2.05117,0.487526
63,1.4198,1,1.59798,0.625789
64,1.885,1,1.80194,0.554958
65,4.76967,1,3.06307,0.32647
66,6.0592,1,3.59848,0.277895
67,1.13456,1,1.47785,0.676659
68,1.25236,1,1.52518,0.65566
69,1.59913,1,1.67992,0.595268
70,2.50085,1,2.07422,0.482109
71,1.91027,1,1.81306,0.551552
72,1.27428,1,1.53477,0.651564
73,1.02081,1,1.42535,0.70158
74,6.82611,1,3.90439,0.256122
75,3.63693,1,2.5769,0.388063
76,1.00372,1,1.4181,0.705168
77,1.3254,1,1.55689,0.642307
78,2.62907,1,2.13127,0.469204
79,1.48665,1,1.62715,0.61457
80,1.57067,1,1.66594,0.600261
81,1.0273,1,1.42802,0.70027
82,1.44979,1,1.61106,0.620708
83,2.99386,1,2.29471,0.435784
84,9.06069,1,4.73797,0.211061
85,2.26703,1,1.97056,0.50747
86,1.18676,1,1.49677,0.668104
87,3.09537,1,2.33666,0.427961
88,10.4567,1,5.21491,0.191758
89,2.81136,1,2.21129,0.452225
90,5.92557,1,3.54418,0.282152
91,1.40284,1,1.59059,0.628697
92,2.61843,1,2.12599,0.47037
93,1.50126,1,1.63353,0.61217
94,1.87332,1,1.79679,0.556547
95,2.35961,1,2.0115,0.497142
96,1.7714,1,1.75195,0.570793
97,1.50488,1,1.63512,0.611578
98,1.64571,1,1.69899,0.588584
99,2.87638,1,2.24526,0.445383
100,1.01707,1,1.42362,0.702433
101,1.17089,1,1.48992,0.671179
102,1.39213,1,1.58597,0.630531
103,1.63688,1,1.69289,0.590705
104,2.27869,1,1.97773,0.50563
105,3.14228,1,2.39067,0.418293
106,2.35127,1,2.00781,0.498054
107,4.7607,1,3.06021,0.326775
108,5.112,1,3.2076,0.31176
109,1.20238,1,1.50368,0.665037
110,1.73316,1,1.73515,0.57632
111,1.00374,1,1.4179,0.705267
112,6.85928,1,3.9174,0.255272
113,3.0486,1,2.31604,0.431772
114,2.39688,1,2.02799,0.4931
115,3.97773,1,2.72295,0.367249
116,1.41781,1,1.59805,0.625763
117,1.3366,1,1.56176,0.640304
118,1.71625,1,1.72845,0.578553
119,2.02475,1,1.86354,0.536612
120,1.42199,1,1.59894,0.625415
121,1.0225,1,1.42596,0.701283
122,10.9115,1,5.36321,0.186456
123,3.27566,1,2.41605,0.413898
124,1.43172,1,1.60318,0.623761
125,1.17941,1,1.49359,0.669526
126,2.04639,1,1.87309,0.533876
127,2.70739,1,2.16533,0.461823
128,2.28937,1,1.98044,0.504939
129,4.5864,1,2.98504,0.335004
130,1.30187,1,1.54666,0.646553
131,1.29102,1,1.54195,0.648528
132,6.23918,1,3.67115,0.272394
133,1.31342,1,1.55168,0.644462
134,2.00751,1,1.85594,0.538812
135,3.1402,1,2.35642,0.424373
136,2.92753,1,2.26267,0.441955
137,2.4476,1,2.05042,0.487704
138,1.4718,1,1.62067,0.617029
139,1.49313,1,1.62998,0.613504
140,1.67914,1,1.7161,0.582717
141,29.6781,1,9.3355,0.107118
142,1.52445,1,1.64367,0.608394
143,1.80273,1,1.76572,0.56634
144,7.43022,1,4.1384,0.241639
145,2.02877,1,1.86532,0.536102
146,2.65671,1,2.14292,0.466654
147,2.12626,1,1.90846,0.523982
148,2.42798,1,2.04174,0.489779
149,1.30522,1,1.54812,0.645945
150,3.76617,1,2.63662,0.379273
151,3.46986,1,2.50134,0.399786
152,11.3117,1,5.49092,0.182119
153,1.43644,1,1.60524,0.622959
154,1.50403,1,1.63515,0.611565
155,1.21195,1,1.50985,0.662319
156,4.39915,1,2.90487,0.344249
157,1.5534,1,1.65633,0.603744
158,1.34328,1,1.56466,0.639116
159,1.8999,1,1.8085,0.552945
160,1.8019,1,1.76536,0.566457
161,2.07547,1,1.88593,0.530243
162,1.5236,1,1.6433,0.608532
163,2.13351,1,1.91156,0.523133
164,1.17003,1,1.49139,0.670515
165,1.88991,1,1.80419,0.554267
166,1.17539,1,1.49185,0.670306
167,1.62711,1,1.68861,0.592202
168,1.11492,1,1.46574,0.682247
169,1.08162,1,1.45139,0.688993
170,1.43579,1,1.60669,0.622397
171,1.74896,1,1.74209,0.574024
172,1.44145,1,1.60849,0.621702
