event,pTHat,pythiaWeight,manualBias,manualWeight
0,3.58421,1,1,1
1,1.13969,1,1,1
2,5.53867,1,1,1
3,3.54131,1,1,1
4,1.25961,1,1,1
5,1.23448,1,1,1
6,1.10044,1,1,1
7,2.00727,1,1,1
8,1.98903,1,1,1
9,1.65157,1,1,1
10,1.85952,1,1,1
11,1.28401,1,1,1
12,1.14217,1,1,1
13,1.45439,1,1,1
14,2.59221,1,1,1
15,1.28433,1,1,1
16,5.14813,1,1,1
17,1.44098,1,1,1
18,1.58751,1,1,1
19,1.70668,1,1,1
20,1.91358,1,1,1
21,2.02789,1,1,1
22,1.79471,1,1,1
23,1.94174,1,1,1
24,2.12543,1,1,1
25,1.13983,1,1,1
26,1.16398,1,1,1
27,2.34781,1,1,1
28,3.51763,1,1,1
29,1.17886,1,1,1
30,1.48143,1,1,1
31,2.34309,1,1,1
32,2.39388,1,1,1
33,2.31207,1,1,1
34,1.60208,1,1,1
35,2.28541,1,1,1
36,1.62944,1,1,1
37,2.65782,1,1,1
38,1.02086,1,1,1
39,2.68216,1,1,1
40,2.05963,1,1,1
41,1.75269,1,1,1
42,1.82779,1,1,1
43,1.64235,1,1,1
44,1.10177,1,1,1
45,1.4058,1,1,1
46,2.37678,1,1,1
47,2.1264,1,1,1
48,1.96765,1,1,1
49,2.32753,1,1,1
50,1.23873,1,1,1
51,4.06749,1,1,1
52,2.26077,1,1,1
53,1.26673,1,1,1
54,1.15955,1,1,1
55,4.15074,1,1,1
56,1.37573,1,1,1
57,1.77067,1,1,1
58,1.82967,1,1,1
59,2.84656,1,1,1
60,1.24911,1,1,1
61,1.43954,1,1,1
62,1.6465,1,1,1
63,1.3428,1,1,1
64,1.74068,1,1,1
65,3.88599,1,1,1
66,1.25265,1,1,1
67,1.65007,1,1,1
68,3.80301,1,1,1
69,3.86071,1,1,1
70,1.09698,1,1,1
71,1.7629,1,1,1
72,1.8756,1,1,1
73,1.66436,1,1,1
74,1.17054,1,1,1
75,1.0683,1,1,1
76,2.65608,1,1,1
77,1.95724,1,1,1
78,2.52354,1,1,1
79,1.96646,1,1,1
80,1.74408,1,1,1
81,5.41272,1,1,1
82,1.17393,1,1,1
83,1.70547,1,1,1
84,1.20155,1,1,1
85,1.11923,1,1,1
86,2.20997,1,1,1
87,3.17383,1,1,1
88,1.11703,1,1,1
89,1.4928,1,1,1
90,1.4533,1,1,1
91,2.27245,1,1,1
92,1.75934,1,1,1
93,1.27894,1,1,1
94,1.55658,1,1,1
95,1.23713,1,1,1
96,2.14279,1,1,1
97,1.92267,1,1,1
98,1.70463,1,1,1
99,3.11782,1,1,1
100,2.53609,1,1,1
101,2.45904,1,1,1
102,1.2884,1,1,1
103,1.4017,1,1,1
104,3.1253,1,1,1
105,2.24781,1,1,1
106,1.28983,1,1,1
107,2.89575,1,1,1
108,1.40775,1,1,1
109,1.92003,1,1,1
110,1.2763,1,1,1
111,1.07507,1,1,1
112,2.35592,1,1,1
113,1.06373,1,1,1
114,1.01961,1,1,1
115,1.04832,1,1,1
116,4.46762,1,1,1
117,1.49213,1,1,1
118,2.53266,1,1,1
119,2.21728,1,1,1
120,2.62936,1,1,1
121,1.85563,1,1,1
122,2.15395,1,1,1
123,1.29836,1,1,1
124,2.28126,1,1,1
125,1.9971,1,1,1
126,4.11577,1,1,1
127,1.2996,1,1,1
128,1.207,1.03149,1,1.03149
129,2.62374,1,1,1
130,1.29131,1,1,1
131,1.82872,1,1,1
132,2.62059,1,1,1
133,1.68819,1,1,1
134,1.87796,1,1,1
135,1.21635,1,1,1
136,1.86634,1,1,1
137,1.07431,1,1,1
138,4.49244,1,1,1
139,1.08352,1,1,1
140,1.4279,1,1,1
141,1.04659,1,1,1
142,2.5864,1,1,1
143,5.86632,1,1,1
144,1.40855,1,1,1
145,1.64354,1,1,1
146,1.27406,1,1,1
147,1.05488,1,1,1
148,1.68212,1,1,1
149,2.03114,1,1,1
150,1.37662,1,1,1
151,3.06046,1,1,1
152,3.07652,1,1,1
153,1.24881,1,1,1
154,2.8655,1,1,1
155,3.01273,1,1,1
156,1.02902,1,1,1
157,1.63931,1,1,1
158,1.48673,1,1,1
159,1.94637,1,1,1
160,1.30918,1,1,1
161,2.11558,1,1,1
162,4.22536,1,1,1
163,5.24246,1,1,1
164,1.77012,1,1,1
165,3.99533,1,1,1
166,1.69852,1,1,1
167,1.69334,1,1,1
168,1.11716,1,1,1
169,1.13528,1,1,1
170,3.2983,1,1,1
171,1.29835,1,1,1
172,1.14609,1,1,1
173,1.38627,1,1,1
174,1.35749,1,1,1
175,1.00495,1,1,1
176,1.52977,1,1,1
177,1.72768,1,1,1
178,1.13683,1,1,1
179,1.12422,1,1,1
180,1.87657,1,1,1
181,1.47574,1,1,1
182,2.11573,1,1,1
183,2.24791,1,1,1
184,1.66069,1,1,1
185,2.21157,1,1,1
186,4.72295,1,1,1
187,1.03305,1,1,1
188,2.17354,1,1,1
189,1.23219,1,1,1
190,1.61745,1,1,1
191,1.08759,1.10279,1,1.10279
192,1.66586,1,1,1
193,1.07981,1,1,1
194,1.82774,1,1,1
195,1.11233,1,1,1
196,2.45222,1,1,1
197,1.68057,1,1,1
198,2.00123,1,1,1
199,6.21243,1,1,1
