event,pTHat,pythiaWeight,manualBias,manualWeight
0,2.9255,1,1,1
1,1.20663,1,1,1
2,1.38988,1,1,1
3,1.56351,1,1,1
4,1.55289,1,1,1
5,1.14391,1,1,1
6,1.1822,1,1,1
7,1.53532,1,1,1
8,1.08194,1,1,1
9,1.95077,1,1,1
10,1.09389,1,1,1
11,3.28971,1,1,1
12,1.39945,1,1,1
13,3.66109,1,1,1
14,3.59191,1,1,1
15,2.53039,1,1,1
16,1.12468,1,1,1
17,1.15861,1,1,1
18,1.21351,1,1,1
19,1.48767,1,1,1
20,3.24467,1,1,1
21,1.35802,1,1,1
22,2.09534,1,1,1
23,16.9694,1,1,1
24,1.27064,1,1,1
25,2.04284,1,1,1
26,7.96342,1,1,1
27,8.65529,1,1,1
28,1.02696,1,1,1
29,1.97887,1,1,1
30,2.80147,1,1,1
31,1.0069,1,1,1
32,1.53968,1,1,1
33,1.49147,1,1,1
34,1.75895,1,1,1
35,1.69715,1,1,1
36,1.71294,1,1,1
37,1.14711,1,1,1
38,1.17541,1,1,1
39,2.63626,1,1,1
40,1.68805,1,1,1
41,1.03671,1,1,1
42,1.02643,1,1,1
43,1.01151,1,1,1
44,1.66917,1,1,1
45,2.03142,1,1,1
46,1.59389,1,1,1
47,1.49675,1,1,1
48,1.19188,1,1,1
49,1.0748,1,1,1
50,1.0223,1,1,1
51,1.77855,1,1,1
52,1.17267,1,1,1
53,1.92705,1,1,1
54,1.4122,1,1,1
55,1.19365,1,1,1
56,1.10958,1,1,1
57,1.5333,1,1,1
58,2.35673,1,1,1
59,4.5597,1,1,1
60,1.44485,1,1,1
61,1.19022,1,1,1
62,1.91168,1,1,1
63,1.26786,1,1,1
64,5.12763,1,1,1
65,1.32409,1,1,1
66,1.0502,1,1,1
67,4.53597,1,1,1
68,1.16707,1,1,1
69,1.80697,1,1,1
70,3.62237,1,1,1
71,1.2413,1,1,1
72,1.39319,1,1,1
73,1.11611,1,1,1
74,1.58772,1,1,1
75,1.64221,1,1,1
76,1.05236,1,1,1
77,1.56453,1,1,1
78,1.62103,1,1,1
79,1.29505,1,1,1
80,1.41168,1,1,1
81,1.54721,1,1,1
82,2.02166,1,1,1
83,1.97984,1,1,1
84,1.72053,1,1,1
85,2.02019,1,1,1
86,2.69567,1,1,1
87,1.37027,1,1,1
88,2.19017,1,1,1
89,2.44446,1,1,1
90,3.11869,1,1,1
91,1.00687,1,1,1
92,1.21107,1,1,1
93,1.49673,1,1,1
94,2.7569,1,1,1
95,1.74067,1,1,1
96,1.90555,1,1,1
97,2.49584,1,1,1
98,1.16544,1,1,1
99,1.93978,1,1,1
100,3.72595,1,1,1
101,2.05741,1,1,1
102,3.0859,1,1,1
103,1.00139,1,1,1
104,1.39138,1,1,1
105,3.88444,1,1,1
106,3.16587,1,1,1
107,1.08277,1,1,1
108,2.54968,1,1,1
109,3.14835,1,1,1
110,3.2682,1,1,1
111,1.04528,1,1,1
112,2.15608,1,1,1
113,2.81448,1,1,1
114,1.22644,1,1,1
115,1.03837,1,1,1
116,2.73551,1,1,1
117,2.28053,1,1,1
118,1.01833,1,1,1
119,1.65538,1,1,1
120,1.21884,1,1,1
121,1.22995,1,1,1
122,2.11385,1,1,1
123,2.28808,1,1,1
124,1.88542,1,1,1
125,1.25641,1,1,1
126,1.76776,1,1,1
127,2.51589,1,1,1
128,1.12176,1,1,1
129,1.54207,1,1,1
130,1.53565,1,1,1
131,2.48736,1,1,1
132,2.04117,1,1,1
133,1.70949,1,1,1
134,1.04388,1.05907,1,1.05907
135,1.0645,1,1,1
136,1.14394,1,1,1
137,1.13978,1.02789,1,1.02789
138,3.57654,1,1,1
139,2.20567,1,1,1
140,1.11077,1,1,1
141,1.64655,1,1,1
142,1.19177,1,1,1
143,4.06467,1,1,1
144,3.01092,1,1,1
145,1.69751,1,1,1
146,4.16325,1,1,1
147,2.4203,1,1,1
148,1.70746,1,1,1
149,2.26617,1,1,1
150,1.29429,1,1,1
151,1.22264,1,1,1
152,1.37637,1,1,1
153,1.17151,1,1,1
154,1.59921,1,1,1
155,1.67676,1,1,1
156,1.37159,1,1,1
157,1.14465,1,1,1
158,1.14306,1,1,1
159,1.02,1,1,1
160,1.3214,1,1,1
161,3.03741,1,1,1
162,1.57933,1,1,1
163,1.95538,1,1,1
164,1.20249,1,1,1
165,3.43738,1,1,1
166,1.98051,1,1,1
167,5.18301,1,1,1
168,1.08187,1,1,1
169,1.18347,1,1,1
170,2.79752,1,1,1
171,1.4673,1,1,1
172,1.64925,1,1,1
173,2.01895,1,1,1
174,1.4915,1,1,1
175,1.42104,1,1,1
176,1.4104,1,1,1
177,3.32511,1,1,1
178,1.47593,1,1,1
179,5.04351,1,1,1
180,1.14418,1.05286,1,1.05286
181,1.38815,1,1,1
182,1.77418,1,1,1
183,4.23252,1,1,1
184,2.83779,1,1,1
185,1.06863,1,1,1
186,1.70466,1,1,1
187,1.28725,1,1,1
188,3.34455,1,1,1
189,1.4765,1,1,1
190,1.75337,1,1,1
191,4.31067,1,1,1
192,1.46614,1,1,1
193,1.66045,1,1,1
194,3.74107,1,1,1
195,3.11802,1,1,1
196,1.13596,1,1,1
197,1.56431,1,1,1
198,4.02715,1,1,1
199,3.51547,1,1,1
