event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.22958,1,1,1
1,1.85836,1,1,1
2,1.72437,1,1,1
3,2.32571,1,1,1
4,1.15858,1,1,1
5,2.03425,1,1,1
6,4.23151,1,1,1
7,2.43171,1,1,1
8,1.79378,1,1,1
9,1.15688,1,1,1
10,1.14736,1,1,1
11,1.19718,1,1,1
12,1.21466,1,1,1
13,1.093,1,1,1
14,2.45832,1,1,1
15,3.79685,1,1,1
16,1.86821,1,1,1
17,5.94776,1,1,1
18,2.14935,1,1,1
19,1.03675,1,1,1
20,2.01808,1,1,1
21,1.16918,1,1,1
22,2.46313,1,1,1
23,3.4153,1,1,1
24,1.4879,1,1,1
25,2.68443,1,1,1
26,2.72766,1,1,1
27,1.55439,1,1,1
28,2.68942,1,1,1
29,1.48607,1,1,1
30,1.11296,1,1,1
31,2.02204,1,1,1
32,2.77824,1,1,1
33,1.34094,1,1,1
34,7.51347,1,1,1
35,1.93866,1,1,1
36,1.75707,1,1,1
37,2.43754,1,1,1
38,1.06576,1,1,1
39,2.69235,1,1,1
40,1.43189,1,1,1
41,1.035,1,1,1
42,1.53922,1,1,1
43,1.1059,1,1,1
44,1.37744,1,1,1
45,1.14117,1,1,1
46,1.82184,1,1,1
47,2.15597,1,1,1
48,2.46604,1,1,1
49,1.59008,1,1,1
50,1.78234,1,1,1
51,1.11041,1,1,1
52,1.91429,1,1,1
53,1.66631,1,1,1
54,3.49421,1,1,1
55,2.08509,1,1,1
56,2.32437,1,1,1
57,1.98417,1,1,1
58,1.13712,1,1,1
59,1.09764,1,1,1
60,1.13024,1,1,1
61,1.6837,1,1,1
62,2.38115,1,1,1
63,1.1097,1,1,1
64,1.8483,1,1,1
65,1.16789,1,1,1
66,1.61658,1,1,1
67,2.33913,1,1,1
68,1.03464,1,1,1
69,1.02064,1,1,1
70,1.71667,1,1,1
71,3.16409,1,1,1
72,2.22749,1,1,1
73,1.59565,1,1,1
74,1.58085,1,1,1
75,1.11095,1,1,1
76,1.94852,1,1,1
77,1.13782,1,1,1
78,2.33705,1,1,1
79,1.22789,1,1,1
80,1.89683,1,1,1
81,4.09337,1,1,1
82,1.00059,1,1,1
83,1.49524,1,1,1
84,1.05384,1,1,1
85,1.74561,1,1,1
86,3.41584,1,1,1
87,1.41215,1,1,1
88,1.60381,1,1,1
89,2.53806,1,1,1
90,1.01511,1,1,1
91,1.21831,1,1,1
92,1.1048,1,1,1
93,1.46522,1,1,1
94,1.38015,1,1,1
95,1.13788,1,1,1
96,1.29929,1,1,1
97,1.27729,1,1,1
98,1.07341,1,1,1
99,2.00819,1,1,1
100,1.23146,1,1,1
101,1.9698,1,1,1
102,2.96047,1,1,1
103,1.21558,1,1,1
104,5.92719,1,1,1
105,1.63314,1,1,1
106,1.43177,1,1,1
107,3.80026,1,1,1
108,2.72095,1,1,1
109,1.11475,1,1,1
110,2.53651,1,1,1
111,1.52094,1,1,1
112,1.76498,1,1,1
113,2.38724,1,1,1
114,1.2172,1,1,1
115,1.06027,1,1,1
116,2.9202,1,1,1
117,1.78778,1,1,1
118,2.24084,1,1,1
119,1.38859,1,1,1
120,2.44174,1,1,1
121,3.05165,1,1,1
122,4.48693,1,1,1
123,1.86985,1,1,1
124,2.38856,1,1,1
125,1.00574,1,1,1
126,3.91642,1,1,1
127,1.16443,1,1,1
128,1.11547,1,1,1
129,1.32384,1,1,1
130,1.16842,1,1,1
131,2.38762,1,1,1
132,2.00125,1,1,1
133,1.63746,1,1,1
134,2.14537,1,1,1
135,1.1344,1,1,1
136,1.41573,1,1,1
137,2.28376,1,1,1
138,1.44882,1,1,1
139,2.12453,1,1,1
140,1.62616,1,1,1
141,1.62602,1,1,1
142,4.56386,1,1,1
143,2.07429,1,1,1
144,1.59637,1,1,1
145,1.32186,1,1,1
146,1.30047,1,1,1
147,1.26507,1,1,1
148,1.51286,1,1,1
149,1.72316,1,1,1
150,3.67254,1,1,1
151,1.05509,1,1,1
152,1.7702,1,1,1
153,1.1705,1,1,1
154,1.0601,1,1,1
155,2.11219,1,1,1
156,1.05634,1,1,1
157,1.31394,1,1,1
158,1.24517,1,1,1
159,1.84054,1,1,1
160,1.46151,1,1,1
161,2.20457,1,1,1
162,2.91231,1,1,1
163,1.49261,1,1,1
164,2.02926,1,1,1
165,1.001,1,1,1
166,2.45091,1,1,1
167,1.22663,1,1,1
168,1.81442,1,1,1
169,1.24818,1,1,1
170,1.89521,1,1,1
171,3.4443,1,1,1
172,1.1548,1,1,1
173,1.44164,1,1,1
174,1.26522,1,1,1
175,2.10576,1,1,1
176,2.1158,1,1,1
177,1.01675,1,1,1
178,1.13618,1,1,1
179,2.7068,1,1,1
180,1.13416,1,1,1
181,1.11147,1,1,1
182,1.53899,1,1,1
183,2.26072,1,1,1
184,1.34409,1,1,1
185,2.74479,1,1,1
186,1.9926,1,1,1
187,1.2648,1,1,1
188,3.43206,1,1,1
189,2.74042,1,1,1
190,3.71912,1,1,1
191,9.06416,1,1,1
192,2.24614,1,1,1
193,1.86869,1,1,1
194,1.22884,1,1,1
195,1.77992,1,1,1
196,5.99018,1,1,1
197,4.71401,1,1,1
198,1.47893,1,1,1
199,1.66921,1,1,1
