event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.44719,1,27.7316,0.0360599
1,1.22457,1,170.013,0.00588191
2,1.07128,1,1000,0.001
3,2.66402,1,1,1
4,1.67546,1,80.7861,0.0123784
5,1.52174,1,258.366,0.00387048
6,1.31945,1,506.186,0.00197556
7,2.47734,1,533.859,0.00187315
8,1.50188,1,261.925,0.00381789
9,1.37499,1,152.688,0.0065493
10,1.21201,1,11.5309,0.0867237
11,1.25269,1,14.4652,0.0691314
12,2.27345,1,1,1
13,1.23752,1,1,1
14,1.93477,1,1,1
15,1.60818,1,436.353,0.00229172
16,1.57723,1,1,1
17,1.06371,1,136.598,0.00732075
18,2.33528,1,1,1
19,1.0711,1,261.909,0.00381812
20,1.33291,1,1,1
21,20.5259,1,169.26,0.00590807
22,1.43776,1,1,1
23,1.23052,1,988.956,0.00101117
24,2.30481,1,239.264,0.00417948
25,1.00077,1,94.4875,0.0105834
26,1.4257,1,32.3608,0.0309016
27,1.10367,1,193.855,0.00515849
28,1.70666,1,596.861,0.00167543
29,1.08647,1,1,1
30,2.77902,1,557.454,0.00179387
31,2.45913,1,1,1
32,1.35115,1,21.4308,0.0466617
33,1.19559,1,1,1
34,2.4822,1,1,1
35,1.07912,1,1,1
36,1.16436,1,131.968,0.00757758
37,1.06823,1,379.121,0.00263768
38,1.30856,1,167.816,0.0059589
39,1.44249,1,1,1
40,1.40422,1,1,1
41,2.02863,1,67.3182,0.0148548
42,1.28367,1,275.667,0.00362756
43,2.07703,1,155.854,0.00641627
44,1.21363,1,249.384,0.00400988
45,1.44736,1,211.728,0.00472303
46,1.616,1,1,1
47,1.58116,1,201.74,0.00495687
48,1.13435,1,81.3108,0.0122985
49,1.22938,1,60.8217,0.0164415
50,1.08415,1,1.14682,0.871976
51,1.32226,1,49.7905,0.0200842
52,1.67426,1,1,1
53,1.2533,1,81.2167,0.0123127
54,1.09329,1,280.054,0.00357074
55,1.23725,1,1000,0.001
56,1.49997,1,323.408,0.00309207
57,3.86357,1,1,1
58,1.98413,1,12.0278,0.0831404
59,1.48015,1,1,1
60,1.70973,1,1,1
61,1.17188,1,99.7643,0.0100236
62,1.37984,1,1000,0.001
63,3.21872,1,1,1
64,1.09491,1,1,1
65,1.17096,1,14.5598,0.0686823
66,1.26408,1,21.0393,0.0475301
67,1.24269,1,1,1
68,2.15121,1,1,1
69,1.34145,1,245.176,0.0040787
70,4.94139,1,1,1
71,1.63224,1,1,1
72,1.29212,1,1,1
73,1.36655,1,7.49117,0.13349
74,2.31479,1,57.8028,0.0173002
75,1.19109,1,1,1
76,1.30849,1,1.4514,0.68899
77,1.62662,1,11.7918,0.0848046
78,1.42758,1,359.096,0.00278477
79,1.48879,1,1,1
80,3.4085,1,219.654,0.00455261
81,1.10851,1,273.229,0.00365993
82,1.18821,1,37.3539,0.026771
83,2.95142,1,1,1
84,1.1367,1,7.31517,0.136702
85,1.12562,1,533.744,0.00187356
86,1.23481,1,3.81176,0.262346
87,2.37955,1,1,1
88,2.16132,1,1,1
89,1.46753,1,1,1
90,1.73484,1,332.457,0.00300791
91,1.06396,1,338.718,0.00295231
92,1.06044,1,1,1
93,3.48718,1,303.754,0.00329214
94,1.06534,1,53.1197,0.0188254
95,1.38886,1,1,1
96,1.10345,1,174.279,0.00573794
97,2.51171,1,1,1
98,1.12245,1,1000,0.001
99,1.19152,1,187.881,0.00532252
100,3.36209,1,1,1
101,1.0847,1,27.2677,0.0366734
102,1.07797,1,44.9406,0.0222516
103,1.01909,1,1000,0.001
104,2.83645,1,1.75415,0.570075
105,2.91258,1,1,1
106,1.38563,1,1,1
107,1.20066,1,65.6456,0.0152333
108,1.67344,1,1,1
109,1.22857,1,1,1
110,1.23668,1,817.981,0.00122252
111,1.11425,1,866.331,0.00115429
112,1.52763,1,1,1
113,2.51401,1,18.1411,0.0551235
114,1.66458,1,1,1
115,3.12163,1,1,1
116,1.66662,1,990.498,0.00100959
117,1.40146,1,25.7341,0.0388589
118,1.36094,1,61.8252,0.0161746
119,1.12018,1,1,1
120,1.06771,1,195.771,0.005108
121,2.90089,1,1,1
122,1.8423,1,1000,0.001
123,1.5399,1,1,1
124,1.04768,1,163.641,0.00611095
125,1.10425,1,647.519,0.00154436
126,1.07336,1,347.875,0.00287459
127,1.08003,1,99.5297,0.0100473
128,1.48797,1,129.283,0.00773497
129,1.20427,1,1,1
130,1.09017,1,1,1
131,1.55048,1,1,1
132,1.55816,1,1,1
133,1.02339,1,75.7322,0.0132044
134,1.54508,1,1,1
135,1.30781,1,1,1
136,1.06864,1,156.098,0.00640625
137,2.53876,1,1,1
138,1.04551,1,25.017,0.0399728
139,1.0711,1,1000,0.001
140,1.26192,1,8.51525,0.117436
141,3.53029,1,9.26305,0.107956
142,1.21061,1,1,1
143,1.04705,1,1000,0.001
144,1.33641,1,1000,0.001
145,1.05708,1,121.196,0.00825107
146,1.04259,1,914.848,0.00109308
147,1.40438,1,56.6158,0.0176629
148,1.55935,1,1000,0.001
149,1.24039,1,62.3611,0.0160356
150,1.15737,1,236.857,0.00422196
151,1.47816,1,61.91,0.0161525
152,1.25675,1,1,1
153,2.37041,1,346.386,0.00288695
154,1.00091,1,884.774,0.00113023
155,1.01359,1,492.118,0.00203203
156,2.05904,1,1,1
157,1.97226,1,3.46691,0.288441
158,1.11514,1,357.33,0.00279853
159,1.10874,1,1,1
160,2.01202,1,1,1
161,1.47066,1,1,1
162,1.09734,1,84.3182,0.0118598
163,1.00596,1,203.433,0.00491563
164,1.55059,1,10.4027,0.0961292
165,3.82691,1,1,1
166,1.05197,1,171.486,0.00583137
167,1.18643,1,130.432,0.00766685
168,1.80078,1,1,1
