event,pTHat,pythiaWeight,manualBias,manualWeight
0,5.96829,1,6.72145,0.148777
1,2.1218,1,2.63268,0.379841
2,2.09345,1,2.6063,0.383686
3,1.4625,1,2.05547,0.486508
4,1.29304,1,1.92015,0.520793
5,2.92607,1,3.42883,0.291644
6,2.32279,1,2.81829,0.354826
7,13.8812,1,15.7161,0.063629
8,1.40059,1,2.00418,0.498957
9,1.41901,1,2.01938,0.495202
10,2.39432,1,2.88558,0.346551
11,1.50041,1,2.08902,0.478693
12,2.20886,1,2.71224,0.368698
13,2.17452,1,2.68056,0.373056
14,5.07993,1,5.70859,0.175175
15,4.82245,1,5.42222,0.184426
16,5.51882,1,6.20626,0.161128
17,4.48326,1,5.04356,0.198273
18,5.80939,1,6.53878,0.152934
19,1.73327,1,2.28572,0.4375
20,1.43206,1,2.03153,0.49224
21,1.01068,1,1.6937,0.590424
22,2.55012,1,3.034,0.329598
23,1.29992,1,1.92195,0.520304
24,3.61943,1,4.11242,0.243166
25,6.9396,1,7.8477,0.127426
26,1.89199,1,2.42505,0.412363
27,3.56416,1,4.0622,0.246172
28,2.54962,1,3.04373,0.328544
29,1.95098,1,2.47762,0.403613
30,1.9825,1,2.50588,0.399061
31,1.63806,1,2.20366,0.453791
32,1.67336,1,2.23579,0.44727
33,4.57015,1,5.13935,0.194577
34,2.77354,1,3.25106,0.307592
35,1.26801,1,1.89616,0.527382
36,3.54461,1,4.03466,0.247852
37,3.92992,1,4.44195,0.225126
38,1.05178,1,1.72538,0.579581
39,1.98306,1,2.50638,0.398981
40,6.47395,1,7.30995,0.1368
41,6.96852,1,7.88059,0.126894
42,1.95913,1,2.48492,0.402427
43,1.53291,1,2.1144,0.472947
44,5.78984,1,6.51634,0.15346
45,2.45218,1,2.94041,0.340088
46,1.55996,1,2.13722,0.467898
47,6.94109,1,7.85151,0.127364
48,1.07111,1,1.74058,0.574521
49,1.8196,1,2.36111,0.42353
50,1.3646,1,1.97837,0.505467
51,1.30118,1,1.92296,0.520033
52,2.62894,1,3.11644,0.320879
53,3.53904,1,4.02816,0.248252
54,1.58844,1,2.16135,0.462674
55,1.10451,1,1.7664,0.566124
56,8.62925,1,9.81385,0.101897
57,1.03381,1,1.7115,0.584284
58,2.07079,1,2.58567,0.386747
59,1.74812,1,2.30634,0.433587
60,1.2031,1,1.84418,0.542245
61,3.95943,1,4.47359,0.223534
62,3.5165,1,4.0048,0.2497
63,1.70313,1,2.25961,0.442554
64,1.14181,1,1.79567,0.556896
65,2.10625,1,2.61797,0.381975
66,1.44793,1,2.04334,0.489396
67,5.89743,1,6.63992,0.150604
68,4.53243,1,5.09768,0.196168
69,1.86611,1,2.40212,0.416299
70,1.08841,1,1.75383,0.57018
71,1.97517,1,2.4993,0.400112
72,1.93691,1,2.46505,0.405671
73,5.98369,1,6.73918,0.148386
74,5.84425,1,6.5788,0.152003
75,4.80697,1,5.40386,0.185053
76,2.84923,1,3.33402,0.299938
77,4.11047,1,4.63775,0.215622
78,2.09899,1,2.61134,0.382945
79,2.41345,1,2.90415,0.344335
80,4.31108,1,4.85452,0.205994
81,2.1532,1,2.67045,0.374469
82,1.12324,1,1.78106,0.561463
83,1.22691,1,1.86437,0.536373
84,1.53662,1,2.11996,0.471706
85,2.16419,1,2.6779,0.373428
86,2.58565,1,3.06819,0.325925
87,1.18251,1,1.82782,0.547101
88,4.13629,1,4.6686,0.214197
89,2.13808,1,2.64709,0.377773
90,1.07135,1,1.74055,0.57453
91,5.67342,1,6.38309,0.156664
92,1.42545,1,2.02534,0.493745
93,1.56137,1,2.13841,0.467637
94,1.51001,1,2.09515,0.477293
95,1.21948,1,1.8618,0.537114
96,5.84606,1,6.58088,0.151955
97,4.40958,1,4.96242,0.201515
98,1.30664,1,1.93076,0.517931
99,1.38603,1,1.9922,0.501958
100,2.79289,1,3.27023,0.305788
101,1.81631,1,2.35822,0.424049
102,2.00525,1,2.52667,0.395778
103,1.08205,1,1.74888,0.571795
104,2.19878,1,2.70319,0.369934
105,1.19475,1,1.83753,0.544207
106,2.44643,1,2.93494,0.340722
107,1.11933,1,1.79045,0.558517
108,2.59797,1,3.08022,0.324652
109,1.1139,1,1.77375,0.563778
110,3.22459,1,3.70316,0.27004
111,2.41221,1,2.9025,0.344531
112,1.91648,1,2.44706,0.408654
113,1.83999,1,2.37906,0.420334
114,1.36268,1,1.97304,0.506832
115,1.54954,1,2.13067,0.469336
116,1.11229,1,1.77248,0.564181
117,1.22798,1,1.86403,0.536471
118,1.26852,1,1.90152,0.525894
119,1.29952,1,1.9216,0.520398
120,2.67843,1,3.15807,0.316649
121,1.31005,1,1.93015,0.518095
122,3.61134,1,4.10392,0.24367
123,2.01644,1,2.57941,0.387686
124,1.21777,1,1.85588,0.538828
125,3.76301,1,4.26402,0.23452
126,1.09799,1,1.7613,0.567762
127,1.27644,1,1.90317,0.525439
128,1.63149,1,2.19804,0.454951
129,1.38935,1,1.99496,0.501262
130,4.29529,1,4.83726,0.206728
131,2.70697,1,3.19424,0.313063
132,2.02911,1,2.54789,0.392481
133,4.31636,1,4.86029,0.205749
134,3.51061,1,3.99848,0.250095
135,1.08481,1,1.75103,0.571093
136,1.85457,1,2.39192,0.418074
137,3.22414,1,3.7027,0.270073
138,3.58937,1,4.08086,0.245046
139,2.31503,1,2.81102,0.355743
140,3.20037,1,3.67845,0.271854
141,1.06031,1,1.73199,0.577372
142,1.01153,1,1.69442,0.590172
143,2.88676,1,3.36287,0.297365
144,1.64648,1,2.21721,0.451017
145,1.04334,1,1.71946,0.581579
146,2.82288,1,3.29964,0.303064
147,1.87149,1,2.40688,0.415476
148,2.21897,1,2.7216,0.367431
149,1.66242,1,2.22458,0.449524
150,3.14198,1,3.71323,0.269308
151,1.7818,1,2.32799,0.429556
152,1.19021,1,1.83931,0.543683
153,3.69937,1,4.19665,0.238285
154,1.57959,1,2.15384,0.464286
155,6.74183,1,7.61688,0.131287
156,11.3467,1,12.9079,0.0774718
157,1.25274,1,1.88667,0.530035
158,1.91436,1,2.45356,0.407571
159,1.56855,1,2.14525,0.466147
160,1.07405,1,1.74266,0.573837
161,2.29167,1,2.79173,0.358201
162,2.75073,1,3.22869,0.309724
163,2.16317,1,2.67012,0.374515
164,1.68643,1,2.2452,0.445394
165,2.05391,1,2.57035,0.389052
166,3.49258,1,3.9883,0.250734
167,6.36007,1,7.17543,0.139364
168,1.43228,1,2.03044,0.492503
169,4.44584,1,5.00227,0.199909
170,2.05609,1,2.57232,0.388754
171,3.03484,1,3.51083,0.284833
172,19.641,1,21.1238,0.0473399
173,1.09495,1,1.75893,0.568528
174,4.0905,1,4.61475,0.216697
175,1.36414,1,1.97423,0.506525
176,1.52177,1,2.10503,0.475052
177,1.74947,1,2.29979,0.434822
178,2.47533,1,2.96244,0.33756
179,4.68552,1,5.27186,0.189686
180,1.45206,1,2.04677,0.488575
181,1.32258,1,1.94032,0.515378
182,1.58882,1,2.16168,0.462603
183,2.80277,1,3.27981,0.304896
184,1.11491,1,1.77454,0.563527
185,2.03002,1,2.54872,0.392354
186,3.40997,1,3.89386,0.256815
187,1.8891,1,2.42248,0.4128
188,2.12179,1,2.64368,0.37826
189,1.01268,1,1.69718,0.589212
190,8.92292,1,10.1539,0.0984843
191,1.26727,1,1.89643,0.527306
192,6.43825,1,7.26594,0.137628
193,4.1642,1,4.69456,0.213013
194,1.34949,1,1.96226,0.509618
195,2.14062,1,2.64942,0.377441
196,1.04562,1,1.7245,0.57988
197,1.23985,1,1.8758,0.533107
198,2.34595,1,2.84001,0.352111
199,1.93846,1,2.46644,0.405443
