event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.61088,1,1,1
1,5.03371,1,6.4186,0.155797
2,1.08649,1,1,1
3,1.04276,1,28.7706,0.0347577
4,1.75966,1,1,1
5,2.68414,1,1,1
6,1.68127,1,1,1
7,1.30386,1,1,1
8,1.44551,1,1,1
9,1.11218,1,1,1
10,1.68775,1,3.23519,0.309101
11,1.00754,1,3.29132,0.303829
12,2.06029,1,1,1
13,2.09404,1,1,1
14,2.01352,1,1,1
15,4.05202,1,1,1
16,1.76987,1,5.51336,0.181378
17,2.60364,1,1,1
18,2.25714,1,1,1
19,2.40646,1,1,1
20,1.52819,1,25.9194,0.0385812
21,1.24699,1,1,1
22,1.70224,1,1,1
23,1.75275,1,1,1
24,2.19517,1,1,1
25,2.98005,1,1,1
26,2.24144,1,1,1
27,4.12444,1,1,1
28,2.02273,1,1,1
29,1.09716,1,1,1
30,1.14765,1,2.73132,0.366124
31,1.07271,1,1,1
32,1.66966,1,1,1
33,1.43133,1,1,1
34,1.68125,1,1,1
35,1.65015,1,1,1
36,1.18564,1,18.6137,0.0537239
37,2.52111,1,1,1
38,1.61991,1,24.9406,0.0400952
39,1.35843,1,1,1
40,1.20561,1,1.22413,0.816904
41,2.64839,1,1,1
42,1.06118,1,1,1
43,1.70375,1,28.9088,0.0345915
44,1.04274,1,1,1
45,1.52015,1,2.85093,0.350763
46,1.86022,1,1,1
47,1.06101,1,1,1
48,1.80805,1,1,1
49,2.08448,1,1,1
50,2.17631,1,1,1
51,1.0217,1,1,1
52,1.15774,1,1,1
53,1.3077,1,1,1
54,2.25395,1,1,1
55,1.14034,1,1,1
56,2.84594,1,1,1
57,1.07697,1,2.35573,0.424497
58,1.15792,1,1,1
59,2.51585,1,1,1
60,2.90242,1,1,1
61,2.22275,1,1,1
62,3.25041,1,1,1
63,1.33047,1,9.58571,0.104322
64,1.21067,1,1,1
65,1.11473,1,1,1
66,2.38679,1,1,1
67,1.01446,1,1,1
68,1.18999,1,2.80302,0.356758
69,1.41439,1,1,1
70,2.7081,1,19.7112,0.0507326
71,1.18591,1,1,1
72,1.18032,1,1.88582,0.530273
73,1.16707,1,1,1
74,2.15791,1,5.07913,0.196884
75,2.56795,1,1,1
76,1.9645,1,1,1
77,1.19422,1,1.93076,0.517931
78,1.09507,1,1.32284,0.75595
79,1.5313,1,1,1
80,1.84242,1,2.86925,0.348523
81,4.71879,1,1,1
82,5.89114,1,1,1
83,3.70646,1,1,1
84,2.44644,1,1,1
85,1.37627,1,35.0883,0.0284996
86,2.25853,1,1,1
87,4.32623,1,1.60264,0.62397
88,1.53969,1,1,1
89,1.97492,1,1,1
90,2.08402,1,1,1
91,1.30089,1,9.98229,0.100177
92,1.375,1,1,1
93,2.13639,1,1,1
94,1.32226,1,1,1
95,2.43716,1,1,1
96,3.29807,1,1,1
97,1.0639,1,1,1
98,1.61311,1,1,1
99,1.95087,1,1,1
100,1.54919,1,1,1
101,2.11217,1,1,1
102,1.47548,1,1,1
103,1.49121,1,1,1
104,1.50655,1,1,1
105,1.09283,1,1,1
106,1.33065,1,1,1
107,1.34838,1,1,1
108,1.10909,1,1,1
109,1.08766,1,1,1
110,3.89683,1,1,1
111,1.31998,1,1.81638,0.550547
112,1.08065,1,1,1
113,1.89042,1,4.47977,0.223226
114,2.2034,1,1,1
115,1.08135,1,1,1
116,1.85265,1,11.547,0.0866026
117,3.62816,1,1,1
118,1.55686,1,1,1
119,1.91252,1,1,1
120,2.33473,1,1,1
121,1.53099,1,1,1
122,1.20942,1,6.98734,0.143116
123,1.56916,1,1,1
124,1.49686,1,1,1
125,2.28119,1,1,1
126,1.6492,1,1,1
127,3.74192,1,1,1
128,2.4502,1,1,1
129,1.0703,1,1,1
130,1.26864,1,1,1
131,1.15359,1,1,1
132,1.32715,1,22.6968,0.044059
133,1.07149,1,10.1416,0.0986038
134,8.65202,1,5.3266,0.187737
135,1.58814,1,1,1
136,1.46442,1,1,1
137,2.69641,1,1,1
138,1.87661,1,1,1
139,1.52032,1,1,1
140,2.56993,1,1,1
141,1.11425,1,1.29276,0.773539
142,1.12151,1,1,1
143,2.57969,1,1,1
144,1.72948,1,1,1
145,1.33668,1,1,1
146,1.72888,1,1,1
147,1.10659,1,1,1
148,1.05068,1,1,1
149,2.66656,1,1,1
150,2.06153,1,1,1
151,4.60018,1,1,1
152,1.44899,1,1,1
153,1.00353,1.02008,1,1.02008
154,2.04786,1,1,1
155,1.5903,1,1,1
156,3.2292,1,1,1
157,1.16156,1,1,1
158,1.84667,1,1,1
159,2.90538,1,1,1
160,1.33092,1,1,1
161,2.28836,1,1,1
162,1.29887,1,1,1
163,1.84562,1,1,1
164,4.25374,1,1,1
165,7.89442,1,1,1
166,1.57484,1,1,1
167,1.17671,1,1,1
168,1.11385,1,1,1
169,1.74205,1,1,1
170,1.99041,1,1,1
171,2.84724,1,1,1
172,3.58793,1,3.56133,0.280794
173,1.48183,1,1,1
174,3.69879,1,1,1
175,1.55608,1,10.7518,0.0930074
176,1.23668,1,2.54359,0.393146
177,1.09382,1,7.80649,0.128099
178,2.29333,1,1,1
179,1.14361,1,1,1
180,1.3596,1,1,1
181,1.21684,1,1,1
182,1.60057,1,1,1
183,1.13733,1,1,1
184,1.4799,1,1,1
185,1.81906,1,7.10653,0.140716
186,1.16186,1,1,1
187,1.15061,1,1,1
188,1.3316,1,1,1
189,5.3105,1,1,1
190,1.5084,1,1,1
191,1.70867,1,1,1
192,1.13306,1,1,1
193,1.54603,1,1,1
194,1.72565,1,1,1
195,3.96396,1,1,1
196,1.01647,1,8.56166,0.1168
197,7.41175,1,1,1
198,1.23248,1,1,1
199,1.06846,1,1,1
