event,pTHat,pythiaWeight,manualBias,manualWeight
0,2.34525,1,1,1
1,1.75985,1,1,1
2,1.77088,1,1,1
3,1.19684,1,1,1
4,1.69206,1,1,1
5,6.9,1,1.3539,0.738604
6,1.4679,1,1,1
7,1.0309,1,2.50644,0.398972
8,2.11915,1,1,1
9,1.90246,1,1,1
10,1.62119,1,1,1
11,3.49743,1,2.82844,0.353552
12,1.76851,1,1,1
13,1.46671,1,1,1
14,1.35385,1,1,1
15,3.17555,1,1,1
16,1.53132,1,1.24483,0.803322
17,1.58483,1,1,1
18,2.25905,1,1,1
19,1.16569,1,1,1
20,1.1069,1,1,1
21,1.49264,1,1,1
22,3.76428,1,1,1
23,1.03872,1,1,1
24,1.19788,1,1.36537,0.732402
25,1.40727,1,1,1
26,1.55061,1,1,1
27,1.82136,1,1,1
28,1.60947,1,1,1
29,1.28371,1,1,1
30,1.97544,1,1,1
31,2.3999,1,1,1
32,1.8184,1,1,1
33,1.03893,1,1,1
34,2.09959,1,1,1
35,2.25846,1,1,1
36,1.02908,1,1,1
37,6.00693,1,1,1
38,1.40877,1,1,1
39,4.38887,1,1,1
40,1.62861,1,1,1
41,7.46339,1,1.26602,0.789875
42,2.08776,1,1,1
43,5.7279,1,1,1
44,1.43599,1,1,1
45,1.20352,1,1,1
46,1.92168,1,1,1
47,2.18541,1,1,1
48,2.56855,1,1,1
49,1.8309,1,1,1
50,2.50366,1,1,1
51,2.38004,1,1,1
52,1.8173,1,1,1
53,1.14205,1,1,1
54,1.27425,1,1,1
55,1.70247,1,1,1
56,1.18362,1,1.50438,0.664727
57,8.87855,1,1,1
58,1.41544,1,1,1
59,1.7443,1,1,1
60,2.52974,1,1,1
61,1.9346,1,1.36081,0.734856
62,2.29135,1,1,1
63,1.09077,1,1,1
64,1.20061,1,1,1
65,1.37945,1,1,1
66,1.01751,1,1,1
67,1.12312,1,1,1
68,1.45713,1,1,1
69,1.75571,1,1,1
70,1.03986,1,1,1
71,1.0228,1,1,1
72,1.52143,1,1,1
73,1.15131,1,1.3174,0.759071
74,1.82495,1,1,1
75,1.51761,1,1,1
76,1.35465,1,1,1
77,2.25514,1,1,1
78,3.17178,1,1,1
79,1.14869,1,3.44431,0.290334
80,1.89601,1,1,1
81,1.06489,1,1,1
82,1.47075,1,1,1
83,1.78921,1,1,1
84,1.35644,1,1,1
85,2.41965,1,1,1
86,1.20009,1,1,1
87,1.20702,1,1,1
88,1.04476,1,1,1
89,1.97389,1,1,1
90,2.36957,1,1,1
91,1.39884,1,1,1
92,2.03683,1,1,1
93,1.01712,1.09997,1,1.09997
94,5.65356,1,1,1
95,5.67746,1,1,1
96,1.65726,1,1,1
97,1.75026,1,1,1
98,2.07561,1,1,1
99,1.83233,1,1.47858,0.676326
100,1.16886,1,1,1
101,1.49256,1,1,1
102,3.06667,1,1,1
103,2.84273,1,1,1
104,2.35735,1,1,1
105,1.84837,1,1,1
106,1.2323,1,1,1
107,1.0677,1,1,1
108,2.68473,1,1,1
109,1.46232,1,1,1
110,1.62757,1,1,1
111,1.90066,1,1,1
112,2.95731,1,1,1
113,2.15146,1,1,1
114,1.16935,1,1,1
115,1.70992,1,1,1
116,1.10032,1,1,1
117,1.60556,1,1,1
118,1.01751,1,1,1
119,1.21316,1,1,1
120,2.70277,1,1,1
121,1.98312,1,1,1
122,1.19153,1,1.06258,0.941105
123,1.47221,1,1,1
124,2.05995,1,1,1
125,1.62858,1,1,1
126,1.75578,1,1.12137,0.891763
127,2.06044,1,1,1
128,1.20344,1,1,1
129,2.79823,1,1,1
130,1.20169,1,1,1
131,1.98653,1,1,1
132,2.43758,1,1,1
133,6.5288,1,1,1
134,1.07978,1,3.00513,0.332764
135,1.77588,1,1,1
136,1.35073,1,1,1
137,1.0643,1,1,1
138,3.77307,1,1,1
139,1.29639,1,1,1
140,1.46169,1,1,1
141,1.53032,1,1,1
142,1.58631,1,1,1
143,1.89978,1,1,1
144,1.39865,1,1,1
145,1.69662,1,1,1
146,1.4611,1,1,1
147,1.2581,1,1,1
148,1.15503,1,1,1
149,1.98679,1,1,1
150,1.58225,1,1,1
151,1.83778,1,1,1
152,2.3321,1,1,1
153,2.7396,1,1,1
154,3.2016,1,1,1
155,2.00414,1,1,1
156,1.43785,1,1,1
157,1.32911,1,1,1
158,1.45479,1,1,1
159,2.12079,1,1,1
160,1.427,1,1,1
161,2.44876,1,1,1
162,2.36439,1,1,1
163,1.91194,1,1,1
164,1.33485,1,1,1
165,1.63023,1,1,1
166,1.69846,1,1,1
167,6.56906,1,1,1
168,2.33355,1,1,1
169,1.34092,1,1,1
170,3.0116,1,1,1
171,1.11223,1,1,1
172,1.47338,1,1,1
173,1.77721,1,1,1
174,1.16234,1,1,1
175,1.41655,1,1,1
176,1.49078,1,1,1
177,1.31377,1,1,1
178,1.71848,1,1,1
179,1.07457,1,1,1
180,1.09732,1,1,1
181,2.22559,1,1,1
182,2.47234,1,1,1
183,3.71648,1,1,1
184,1.37641,1,1,1
185,1.07401,1,1,1
186,1.83922,1,1,1
187,1.8329,1,1,1
188,1.28503,1,1,1
189,2.75395,1,1,1
190,1.41555,1,1,1
191,1.60686,1,1,1
192,3.63982,1,1,1
193,1.24365,1,1,1
194,2.56119,1,1,1
195,1.16656,1,1,1
196,1.88223,1,1,1
197,1.31129,1,1,1
198,1.48447,1,1.81708,0.550334
199,1.54109,1,1,1
