event,pTHat,pythiaWeight,manualBias,manualWeight
0,2.913,1,1,1
1,3.31242,1,1,1
2,1.125,1,1,1
3,1.80403,1,1,1
4,1.05504,1,1,1
5,2.23969,1,1,1
6,1.54784,1,1,1
7,1.77382,1,1,1
8,1.0752,1,1,1
9,1.58557,1,1,1
10,1.41457,1,1,1
11,1.28193,1,1,1
12,1.60963,1,1,1
13,1.84179,1,1,1
14,1.51661,1,1,1
15,2.46521,1,1,1
16,1.05239,1,1,1
17,2.6875,1,1,1
18,4.38365,1,1,1
19,1.35117,1,1,1
20,2.26347,1,1,1
21,1.23039,1,1,1
22,1.116,1,1,1
23,1.18416,1,1,1
24,2.85459,1,1,1
25,6.02706,1,1,1
26,1.60354,1,1,1
27,2.017,1,1,1
28,5.47211,1,1,1
29,1.40526,1,1,1
30,1.1308,1,1,1
31,1.25327,1,1,1
32,1.05199,1,1,1
33,6.64327,1,1,1
34,4.348,1,1,1
35,1.03452,1,1,1
36,1.23874,1,1,1
37,1.27385,1,1,1
38,2.65801,1,1,1
39,4.7693,1,1,1
40,2.93895,1,1,1
41,1.12757,1,1,1
42,6.24591,1,1,1
43,1.45706,1,1,1
44,4.47256,1,1,1
45,1.14099,1,1,1
46,1.16232,1,1,1
47,1.24894,1,1,1
48,1.29987,1,1,1
49,1.09794,1,1,1
50,1.22257,1,1,1
51,1.51227,1,1,1
52,2.00626,1,1,1
53,2.95597,1,1,1
54,1.15323,1,1,1
55,1.17478,1,1,1
56,1.56385,1,1,1
57,1.40851,1,1,1
58,1.4519,1,1,1
59,1.70976,1,1,1
60,1.63547,1,1,1
61,2.11062,1,1,1
62,2.11115,1,1,1
63,3.14241,1,1,1
64,1.18917,1,1,1
65,1.24033,1,1,1
66,5.97497,1,1,1
67,4.31376,1,1,1
68,4.34914,1,1,1
69,1.63619,1,1,1
70,1.05937,1.11402,1,1.11402
71,1.20416,1,1,1
72,1.86609,1,1,1
73,2.67415,1,1,1
74,1.16023,1,1,1
75,1.7074,1,1,1
76,2.32755,1,1,1
77,1.74038,1,1,1
78,1.6864,1,1,1
79,4.48263,1,1,1
80,1.32026,1,1,1
81,1.46034,1,1,1
82,1.8313,1,1,1
83,2.6121,1,1,1
84,1.18434,1,1,1
85,1.39694,1,1,1
86,1.42531,1,1,1
87,1.93477,1,1,1
88,1.19661,1,1,1
89,2.09771,1,1,1
90,2.06986,1,1,1
91,1.14633,1,1,1
92,2.26103,1,1,1
93,1.4884,1,1,1
94,3.32611,1,1,1
95,1.34053,1,1,1
96,2.91299,1,1,1
97,1.23937,1,1,1
98,2.65888,1,1,1
99,1.49052,1,1,1
100,1.52686,1,1,1
101,1.69254,1,1,1
102,1.13199,1,1,1
103,1.17961,1,1,1
104,1.43047,1,1,1
105,1.55671,1,1,1
106,2.57167,1,1,1
107,4.34036,1,1,1
108,1.71368,1,1,1
109,2.66412,1,1,1
110,1.29445,1,1,1
111,1.36449,1,1,1
112,1.0507,1,1,1
113,2.79908,1,1,1
114,1.56078,1,1,1
115,1.32662,1,1,1
116,1.11634,1,1,1
117,1.93267,1,1,1
118,1.42339,1,1,1
119,1.67147,1,1,1
120,1.0294,1,1,1
121,1.78813,1,1,1
122,2.06508,1,1,1
123,2.47986,1,1,1
124,1.58304,1,1,1
125,19.6511,1,4.34759,0.230013
126,2.45789,1,1,1
127,1.26428,1,1,1
128,5.88393,1,1,1
129,1.53698,1,1,1
130,1.14191,1.00146,1,1.00146
131,2.22665,1,1,1
132,1.86029,1,1,1
133,1.66314,1,1,1
134,1.00018,1,1,1
135,2.50075,1,1,1
136,4.33343,1,1,1
137,1.26859,1,1,1
138,2.60407,1,1,1
139,3.32266,1,1,1
140,1.18812,1,1,1
141,1.18283,1,1,1
142,1.02676,1,1,1
143,1.32023,1,1,1
144,1.93392,1,1,1
145,1.00299,1,1,1
146,2.23676,1,1,1
147,1.38647,1,1,1
148,1.04677,1,1,1
149,1.1967,1,1,1
150,0.999924,1,1,1
151,1.01835,1,1,1
152,1.45078,1,1,1
153,2.70283,1,1,1
154,2.00466,1,1,1
155,2.95804,1,1,1
156,1.0675,1,1,1
157,1.76403,1,1,1
158,1.87189,1,1,1
159,1.33749,1,1,1
160,2.38854,1,1,1
161,1.71459,1,1,1
162,1.06314,1,1,1
163,4.7027,1,1,1
164,1.6407,1,1,1
165,2.91001,1,1,1
166,1.17805,1,1,1
167,8.81331,1,1,1
168,1.70785,1,1,1
169,1.18503,1,1,1
170,1.11899,1,1,1
171,1.00367,1,1,1
172,2.0899,1,1,1
173,1.20102,1,1,1
174,1.13407,1,1,1
175,1.28992,1,1,1
176,3.27802,1,1,1
177,2.54174,1,1,1
178,2.43723,1,1,1
179,2.00756,1,1,1
180,1.72125,1,1,1
181,1.00754,1,1,1
182,1.07194,1,1,1
183,1.40637,1,1,1
184,1.73357,1,1,1
185,1.38147,1,1,1
186,1.17949,1,1,1
187,1.78652,1,1,1
188,1.37522,1,1,1
189,1.1833,1,1,1
190,1.97192,1,1,1
191,1.35809,1,1,1
192,1.85738,1,1,1
193,2.3461,1,1,1
194,1.68056,1,1,1
195,1.04064,1,1,1
196,4.23338,1,1,1
197,2.06198,1,1,1
198,1.26571,1,1,1
199,2.46495,1,1,1
