event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.09058,1,1,1
1,3.75982,1,1,1
2,1.37237,1,1,1
3,1.81452,1,1,1
4,1.06091,1,1,1
5,1.06715,1,1,1
6,4.58403,1,1,1
7,1.75225,1,1,1
8,2.66936,1,1,1
9,1.87192,1,1,1
10,1.36618,1,1,1
11,1.78734,1,1,1
12,2.40561,1,1,1
13,2.79067,1,1,1
14,6.86643,1,1,1
15,2.2631,1,1,1
16,1.66131,1,1,1
17,2.67488,1,1,1
18,2.42712,1,1,1
19,1.73232,1,1,1
20,1.2143,1,1,1
21,3.0171,1,1,1
22,2.33824,1,1,1
23,1.40051,1,1,1
24,1.02455,1,1,1
25,3.90126,1,1,1
26,3.0554,1,1,1
27,1.20625,1,1,1
28,3.95463,1,1,1
29,1.24056,1,1,1
30,1.0803,1,1,1
31,2.57379,1,1,1
32,1.45471,1,1,1
33,2.02818,1,1,1
34,1.85753,1,1,1
35,1.35544,1,1,1
36,1.19116,1,1,1
37,1.3308,1,1,1
38,1.01468,1.02607,1,1.02607
39,1.53354,1,1,1
40,2.44638,1,1,1
41,1.01966,1,1,1
42,1.31138,1,1,1
43,1.27492,1,1,1
44,1.08468,1,1,1
45,1.06548,1,1,1
46,1.28076,1,1,1
47,1.22456,1,1,1
48,1.17051,1,1,1
49,1.17814,1,1,1
50,1.26107,1,1,1
51,1.91224,1,1,1
52,2.07156,1,1,1
53,3.01564,1,1,1
54,1.52487,1,1,1
55,3.81425,1,1,1
56,2.95443,1,1,1
57,1.27404,1,1,1
58,2.8845,1,1,1
59,1.22307,1,1,1
60,2.16338,1,1,1
61,1.1985,1,1,1
62,1.03428,1,1,1
63,2.20122,1,1,1
64,1.5139,1,1,1
65,1.98597,1,1,1
66,1.29663,1,1,1
67,1.13642,1,1,1
68,1.97462,1,1,1
69,3.73222,1,1,1
70,1.08749,1,1,1
71,1.3304,1,1,1
72,1.26989,1,1,1
73,2.60233,1,1,1
74,2.11577,1,1,1
75,2.26852,1,1,1
76,1.77277,1,1,1
77,1.61702,1,1,1
78,1.55502,1,1,1
79,1.4318,1,1,1
80,7.15047,1,1,1
81,1.42097,1,1,1
82,1.00337,1,1,1
83,3.60936,1,1,1
84,1.26065,1,1,1
85,2.05255,1,1,1
86,1.24498,1,1,1
87,9.33801,1,1,1
88,1.31828,1,1,1
89,1.40507,1,1,1
90,2.37265,1,1,1
91,1.12369,1,1,1
92,1.7513,1,1,1
93,1.18763,1,1,1
94,2.89307,1,1,1
95,1.15097,1,1,1
96,1.30732,1,1,1
97,1.9222,1,1,1
98,1.0842,1,1,1
99,1.6894,1,1,1
100,1.90817,1,1,1
101,2.11633,1,1,1
102,1.64308,1,1,1
103,1.00297,1,1,1
104,1.0291,1,1,1
105,2.61082,1,1,1
106,1.15914,1,1,1
107,1.33966,1,1,1
108,3.22707,1,1,1
109,3.10835,1,1,1
110,1.0641,1,1,1
111,1.72441,1,1,1
112,1.85981,1,1,1
113,2.80088,1,1,1
114,2.30436,1,1,1
115,1.00903,1,1,1
116,1.56931,1,1,1
117,1.48677,1,1,1
118,1.07177,1,1,1
119,1.8766,1,1,1
120,1.28114,1,1,1
121,1.46024,1,1,1
122,2.04142,1,1,1
123,1.02211,1.00015,1,1.00015
124,1.11706,1,1,1
125,1.26534,1,1,1
126,1.00449,1,1,1
127,1.53691,1,1,1
128,1.86197,1,1,1
129,1.58776,1,1,1
130,1.78602,1,1,1
131,1.2912,1,1,1
132,1.83189,1,1,1
133,1.55689,1,1,1
134,2.04249,1,1,1
135,1.51961,1,1,1
136,1.16906,1,1,1
137,0.33148,1,1,1
138,1.81808,1,1,1
139,2.14693,1,1,1
140,1.05511,1,1,1
141,1.07267,1,1,1
142,1.69333,1,1,1
143,1.46564,1,1,1
144,3.06236,1,1,1
145,1.35955,1,1,1
146,4.79315,1,1,1
147,1.85713,1,1,1
148,1.16342,1,1,1
149,1.92314,1,1,1
150,2.67185,1,1,1
151,4.65343,1,1,1
152,2.56682,1,1,1
153,1.21319,1,1,1
154,4.69074,1,1,1
155,1.75894,1,1,1
156,2.08214,1,1,1
157,1.26998,1,1,1
158,1.00256,1,1,1
159,1.29269,1,1,1
160,1.16892,1,1,1
161,2.40756,1,1,1
162,1.0708,1,1,1
163,2.31926,1,1,1
164,1.84746,1,1,1
165,1.57168,1,1,1
166,1.15953,1,1,1
167,1.2241,1,1,1
168,1.36753,1,1,1
169,2.57524,1,1,1
170,1.56862,1,1,1
171,1.58427,1,1,1
172,2.66419,1,1,1
173,1.17313,1,1,1
174,2.53878,1,1,1
175,2.29407,1,1,1
176,1.78575,1,1,1
177,1.8918,1,1,1
178,1.25159,1,1,1
179,2.03534,1,1,1
180,2.10916,1,1,1
181,1.50038,1,1,1
182,1.85136,1,1,1
183,1.7905,1,1,1
184,2.36698,1,1,1
185,2.6445,1,1,1
186,1.46996,1,1,1
187,3.84427,1,1,1
188,2.35075,1,1,1
189,1.00929,1,1,1
190,2.29572,1,1,1
191,1.6882,1,1,1
192,3.57951,1,1,1
193,1.3952,1,1,1
194,2.744,1,1,1
195,1.81865,1,1,1
196,1.09969,1,1,1
197,2.90985,1,1,1
198,1.16211,1,1,1
199,1.51927,1,1,1
