event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.1919,1,1,1
1,2.26397,1,1,1
2,2.34098,1,1,1
3,3.07974,1,1,1
4,1.59883,1,1,1
5,1.21375,1,1,1
6,1.16733,1,1,1
7,1.169,1,1,1
8,1.06187,1,1,1
9,1.06444,1,1,1
10,1.08065,1,1,1
11,53.2625,1,1000,0.001
12,1.19646,1,1,1
13,2.40861,1,1,1
14,1.33542,1,1,1
15,1.91266,1,1,1
16,1.04328,1,1,1
17,35.2205,1,178.822,0.00559214
18,3.72639,1,1,1
19,2.14742,1,1,1
20,1.51156,1,1,1
21,1.5836,1,1,1
22,3.67193,1,1,1
23,2.42635,1,1,1
24,1.02812,1.286,1,1.286
25,1.02641,1.14559,1,1.14559
26,1.84714,1,1,1
27,1.76003,1,1,1
28,1.8147,1,1,1
29,3.33223,1,1,1
30,1.44743,1,1,1
31,1.01788,1,1,1
32,3.89003,1,1,1
33,2.11196,1,1,1
34,1.07884,1,1,1
35,3.03176,1,1,1
36,1.31539,1,1,1
37,29.0564,1,116.794,0.00856206
38,2.09303,1,1,1
39,1.21262,1,1,1
40,1.00365,1,1,1
41,1.44157,1,1,1
42,1.91756,1,1,1
43,1.84739,1,1,1
44,1.01066,1,1,1
45,3.30336,1,1,1
46,1.07464,1,1,1
47,1.73173,1,1,1
48,1.38276,1,1,1
49,1.98733,1,1,1
50,1.64626,1,1,1
51,2.14644,1,1,1
52,1.47596,1,1,1
53,35.0326,1,224.26,0.00445912
54,1.10646,1,1,1
55,1.9104,1,1,1
56,1.13144,1,1,1
57,1.74473,1,1,1
58,2.44647,1,1,1
59,2.49661,1,1,1
60,1.95652,1,1,1
61,1.93795,1,1,1
62,1.72589,1,1,1
63,1.64395,1,1,1
64,1.01501,1,1,1
65,2.19497,1,1,1
66,1.21829,1,1,1
67,2.40669,1,1,1
68,1.17799,1,1,1
69,1.10654,1,1,1
70,1.02675,1,1,1
71,1.69178,1,1,1
72,1.22964,1,1,1
73,2.79881,1,1,1
74,1.91049,1,1,1
75,1.33903,1,1,1
76,2.1809,1,1,1
77,1.99285,1,1,1
78,1.03404,1,1,1
79,1.01433,1.47506,1,1.47506
80,8.55874,1,1,1
81,1.48205,1,1,1
82,1.54611,1,1,1
83,1.78686,1,1,1
84,3.92106,1,1,1
85,4.68594,1,1,1
86,2.10044,1,1,1
87,1.37131,1,1,1
88,1.41816,1,1,1
89,1.52499,1,1,1
90,1.30222,1,1,1
91,2.04623,1,1,1
92,4.55811,1,1,1
93,21.7748,1,20.1778,0.0495594
94,2.4575,1,1,1
95,1.08711,1,1,1
96,23.5969,1,26.9468,0.0371101
97,1.08316,1,1,1
98,4.64746,1,1,1
99,2.57691,1,1,1
100,1.10011,1,1,1
101,3.63877,1,1,1
102,2.0962,1,1,1
103,1.58394,1,1,1
104,1.14386,1,1,1
105,1.04811,1,1,1
106,1.95303,1,1,1
107,3.85375,1,1,1
108,2.41044,1,1,1
109,2.27731,1,1,1
110,1.06214,1,1,1
111,2.65502,1,1,1
112,1.73852,1,1,1
113,1.50037,1,1,1
114,1.64832,1,1,1
115,1.92663,1,1,1
116,1.54404,1,1,1
117,2.91596,1,1,1
118,16.4292,1,5.63841,0.177355
119,1.17563,1,1,1
120,2.25391,1,1,1
121,1.33195,1,1,1
122,1.78037,1,1,1
123,1.44004,1,1,1
124,1.45704,1,1,1
125,1.72357,1,1,1
126,1.05577,1,1,1
127,1.44905,1,1,1
128,2.03483,1,1,1
129,1.10093,1,1,1
130,1.29015,1,1,1
131,4.12145,1,1,1
132,1.39044,1,1,1
133,2.17081,1,1,1
134,1.86805,1,1,1
135,1.44901,1,1,1
136,1.34595,1,1,1
137,1.15976,1.13789,1,1.13789
138,1.08325,1,1,1
139,1.86516,1,1,1
140,2.02853,1,1,1
141,1.21748,1,1,1
142,1.59395,1,1,1
143,2.1191,1,1,1
144,2.32592,1,1,1
145,1.05716,1,1,1
146,1.09718,1,1,1
147,1.09758,1,1,1
148,4.29786,1,1,1
149,5.31303,1,1,1
150,1.23319,1,1,1
151,1.37377,1,1,1
152,1.69236,1,1,1
153,1.6775,1,1,1
154,1.60449,1,1,1
155,2.34413,1,1,1
156,1.36736,1,1,1
157,3.05253,1,1,1
158,1.3152,1,1,1
159,1.57545,1,1,1
160,1.14271,1,1,1
161,3.44539,1,1,1
162,1.25181,1,1,1
163,1.28652,1,1,1
164,1.63169,1,1,1
165,1.35552,1,1,1
166,1.11637,1,1,1
167,1.4458,1,1,1
168,2.25433,1,1,1
169,3.44136,1,1,1
170,1.09699,1,1,1
171,2.11481,1,1,1
172,2.42655,1,1,1
173,1.29596,1,1,1
174,3.77785,1,1,1
175,1.60613,1,1,1
176,2.5504,1,1,1
177,1.03277,1,1,1
178,1.41628,1,1,1
179,1.17,1,1,1
180,1.56475,1,1,1
181,1.47225,1,1,1
182,1.37405,1,1,1
183,1.13207,1,1,1
184,1.3235,1,1,1
185,25.1462,1,33.9421,0.0294619
186,1.00026,1,1,1
187,5.44475,1,1,1
188,1.00576,1,1,1
189,1.68848,1,1,1
190,2.65682,1,1,1
191,2.97568,1,1,1
192,1.49683,1,1,1
193,1.29749,1,1,1
194,1.74354,1,1,1
195,1.48898,1,1,1
196,2.53991,1,1,1
197,2.4081,1,1,1
198,1.84212,1,1,1
199,1.48525,1,1,1
