event,pTHat,pythiaWeight,manualBias,manualWeight
0,1.98132,1,1,1
1,1.19926,1,42.5098,0.023524
2,2.4513,1,1,1
3,2.54192,1,1,1
4,1.08178,1,32.8973,0.0303977
5,1.05636,1,88.0304,0.0113597
6,1.56175,1,63.2157,0.0158189
7,1.08183,1,1,1
8,1.11555,1,3.66808,0.272622
9,1.61007,1,106.362,0.00940187
10,2.72208,1,1,1
11,1.55333,1,1,1
12,1.29182,1,1,1
13,2.22471,1,138.048,0.00724387
14,1.07989,1,83.0317,0.0120436
15,2.47063,1,93.4876,0.0106966
16,1.05673,1,1,1
17,1.18636,1,1,1
18,1.27492,1,11.8004,0.0847426
19,1.69087,1,9.75662,0.102495
20,1.90657,1,1,1
21,1.56678,1,1.45861,0.685586
22,6.2444,1,1,1
23,1.17256,1,26.1812,0.0381953
24,3.95487,1,1,1
25,2.37822,1,47.243,0.0211672
26,1.45924,1,1,1
27,2.74116,1,1,1
28,2.12841,1,1,1
29,1.91514,1,1,1
30,1.76834,1,1,1
31,3.43699,1,6.25512,0.159869
32,1.75905,1,1,1
33,1.6781,1,1,1
34,1.04745,1,35.4976,0.0281709
35,1.54391,1,35.6559,0.0280459
36,1.16123,1,1,1
37,1.16121,1,1,1
38,1.91632,1,1,1
39,2.08105,1,66.251,0.0150941
40,1.3752,1,155.75,0.00642055
41,1.50023,1,1,1
42,3.94085,1,1,1
43,1.08507,1,89.5324,0.0111691
44,2.32617,1,1,1
45,1.08746,1,22.7206,0.0440129
46,1.82763,1,2.14276,0.466689
47,1.0841,1,1,1
48,1.35472,1,53.6428,0.0186418
49,1.17127,1,17.7182,0.0564393
50,1.51844,1,1,1
51,1.56184,1,1,1
52,1.07359,1,11.4804,0.0871053
53,1.25615,1,1,1
54,1.04796,1,41.0435,0.0243644
55,1.11721,1,1,1
56,2.09739,1,1,1
57,1.05861,1,1,1
58,1.57503,1,1,1
59,1.68499,1,1,1
60,1.03365,1,219.744,0.00455075
61,1.03946,1,1,1
62,1.51447,1,1,1
63,1.20381,1,280.974,0.00355904
64,3.14088,1,1,1
65,1.96746,1,1,1
66,2.16835,1,1,1
67,1.16088,1,1,1
68,1.24474,1,1,1
69,1.04222,1,1,1
70,1.56964,1,27.5489,0.0362992
71,2.94605,1,1,1
72,1.309,1,1,1
73,1.45911,1,1,1
74,1.19626,1,1,1
75,1.97361,1,1,1
76,1.18377,1,1,1
77,1.75582,1,1,1
78,2.16438,1,1,1
79,1.42274,1,1,1
80,1.89276,1,42.0864,0.0237607
81,1.0561,1,44.7155,0.0223636
82,1.0278,1,1,1
83,1.06654,1,1,1
84,1.61072,1,1,1
85,1.5254,1,1,1
86,1.96687,1,2.21891,0.450672
87,2.80602,1,1,1
88,1.6487,1,1,1
89,2.92943,1,1,1
90,1.21275,1,209.713,0.00476841
91,1.77951,1,5.14725,0.194279
92,2.01056,1,1,1
93,1.95957,1,1,1
94,13.1714,1,1,1
95,3.77575,1,1,1
96,1.60963,1,1,1
97,1.87358,1,1,1
98,1.45477,1,1,1
99,2.4143,1,1,1
100,1.93861,1,1,1
101,1.13782,1,63.5445,0.015737
102,1.30137,1,1,1
103,3.71633,1,1,1
104,1.67877,1,1,1
105,1.40422,1,1,1
106,1.58172,1,1,1
107,1.17237,1,77.928,0.0128324
108,1.40445,1,9.30653,0.107451
109,1.26889,1,1,1
110,2.88372,1,4.20458,0.237836
111,1.81432,1,1,1
112,1.22561,1,31.1919,0.0320596
113,1.62979,1,7.99083,0.125143
114,2.77088,1,1,1
115,2.84812,1,1,1
116,1.287,1,314.68,0.00317783
117,1.28642,1,176.079,0.00567926
118,1.02596,1,10.3968,0.0961833
119,1.19339,1,1,1
120,1.71387,1,122.016,0.00819565
121,2.2955,1,1,1
122,1.06887,1,1,1
123,1.06447,1,703.555,0.00142135
124,1.22337,1,47.8857,0.0208831
125,1.05775,1,131.271,0.00761783
126,7.57227,1,1.64238,0.608873
127,1.15614,1,96.726,0.0103385
128,9.67416,1,4.0928,0.244331
129,1.01331,1,100.072,0.0099928
130,1.61405,1,12.2483,0.0816442
131,1.35549,1,1.23664,0.80864
132,1.57832,1,34.6243,0.0288814
133,2.2133,1,1,1
134,1.16005,1,1,1
135,1.21729,1,1,1
136,1.27343,1,1,1
137,3.95522,1,1,1
138,2.41732,1,48.3115,0.020699
139,1.79808,1,83.3567,0.0119966
140,2.978,1,1,1
141,1.59025,1,1,1
142,1.51334,1,10.3918,0.0962299
143,1.81733,1,274.134,0.00364786
144,2.00548,1,31.1606,0.0320918
145,1.07455,1,14.3369,0.06975
